no_entidade,ds_endereco,nu_endereco,no_bairro,co_cep,sg_uf,no_municipio,nu_ddd,nu_telefone
5120 EEI MEDIANEIRA NOSSO SONHO I,R JARY,119,PASSO DA AREIA,91350170,RS,Porto Alegre,51,32374877
EEI BRINCAR E APRENDER,RUA GARIBALDI,800,INDEPENDENCIA,90035051,RS,Porto Alegre,51,33982686
CENTRO DE ENSINO MEDIO PASTOR DOHMS- UNIDADE DE ENSINO ZONA NORTE,RUA DARIO BORBA BROSSARD,56,RUBEM BERTA,91180480,RS,Porto Alegre,51,33662497
QI ESCOLA DE EDUCACAO PROFISSIONAL ASSIS BRASIL,AVENIDA ASSIS BRASIL,3423,PASSO DA AREIA,91010001,RS,Porto Alegre,51,23130502
EEI GENTE MIUDINHA,RUA MALI,787,VILA IPIRANGA,91370230,RS,Porto Alegre,51,33447069
EEI ARTE E TRAVESSURA,RUA DOUTOR JOAO SIMPLICIO ALVES DE CARVALHO,335,VILA IPIRANGA,91360260,RS,Porto Alegre,51,33415275
GUAIBA CURSOS TECNICOS LTDA,AVENIDA ALBERTO BINS,376,CENTRO HISTORICO,90030140,RS,Porto Alegre,51,32276757
ESCOLA DE EDUCACAO INFANTIL CRIANCA VIDA,RUA JOAO CAETANO,178,TRES FIGUEIRAS,90470260,RS,Porto Alegre,51,30238147
5150 ECEI PE LUIZ PEDROLLO,TRAV COSME E DAMIAO,84,PARTENON,90680247,RS,Porto Alegre,51,9.9832E8
5184 EEI JARDIM IPIRANGA,AV ENG ARY DE ABREU LIMA,390,VILA IPIRANGA,91360070,RS,Porto Alegre,51,33470210
5177 EEI SAO GUILHERME,DIRETRIZ 3729,116,PARTENON,91520650,RS,Porto Alegre,51,33849997
COLEGIO ADVENTISTA NOVO MUNDO,RUA INDIANA,SN,JARDIM NOVO MUNDO,74705300,GO,Goiânia,62,32649000
COLEGIO AGOSTINIANO NS DE FATIMA,RUA 6 A,590,SETOR AEROPORTO,74075220,GO,Goiânia,62,32133022
COLEGIO CLARETIANO CORACAO DE MARIA,AVENIDA PARANAIBA,370,SETOR CENTRAL,74020010,GO,Goiânia,62,32233636
COLEGIO MARISTA GOIANIA EI EF EM,AVENIDA OITENTA E CINCO,1440,SETOR MARISTA,74160010,GO,Goiânia,62,40095875
COLEGIO SANTO AGOSTINHO,RUA 55,63,SETOR CENTRAL,74055150,GO,Goiânia,62,32231326
COLEGIO DELTA I II III,RUA SAO BARTOLOMEU,911,JARDIM PLANALTO,74333260,GO,Goiânia,62,39312020
COLEGIO PREVEST,RUA 5,202,SETOR CENTRAL,74020030,GO,Goiânia,62,32097240
COLEGIO ADVENTISTA JARDIM EUROPA,RUA SANTA EFIGENIA,SN,JARDIM PLANALTO,74333230,GO,Goiânia,62,32649000
ESCOLA SESI PLANALTO,PRACA ITAPUA,150,JARDIM PLANALTO,74843420,GO,Goiânia,62,32362300
INSTITUTO PRESBITERIANO DE EDUCACAO,AVENIDA T 1,1008,SETOR BUENO,74210045,GO,Goiânia,62,32853660
CRECHE SANTA RITA DE CASSIA,RUA 17 A,111,SETOR AEROPORTO,74070100,GO,Goiânia,62,32240888
BERCARIO E MATERNAL SAO COSME E DAMIAO,RUA 32 A,165,SETOR AEROPORTO,74075480,GO,Goiânia,62,32126996
CENTRO DE EDUCACAO INFANTIL DO ABRIGO NOSSO LAR,RUA ANAPOLIS,231,JARDIM NOVO MUNDO,74715040,GO,Goiânia,62,39455294
ESCOLA PRIMEIROS DEGRAUS,RUA IGAPO,45,PARQUE AMAZONIA,74835440,GO,Goiânia,62,32801583
CENTRO EDUCACIONAL BARROZO LTDA -ESTRELINHAS DO FUTURO,RUA CARAGOATA,87,PARQUE AMAZONIA,74840240,GO,Goiânia,62,32481827
ESCOLA MONTEIRO LOBATO,RUA CACAUI QD 10 L4/5,101,PARQUE AMAZONIA,74840230,GO,Goiânia,62,32481276
ESCOLA INFANTIL FAVO DE MEL,RUA MARIA APARECIDA,334,PARQUE AMAZONIA,74843180,GO,Goiânia,62,32808238
ESCOLA O PICA PAU,RUA 9 A,690,SETOR AEROPORTO,74075250,GO,Goiânia,62,32246204
ESCOLA INTELECTUAL,RUA OTAWA,90,JARDIM NOVO MUNDO,74705220,GO,Goiânia,62,32062930
CENTRO DE EDUCACAO INFANTIL PEDACINHO DO CEU,RUA C 99,,SETOR SUDOESTE,74303400,GO,Goiânia,62,32418723
EXPOVEST JUNIOR EDUCACAO PRE-ESCOLAR LTDA,RUA MONTE CASTELO,142,JARDIM PLANALTO,74333200,GO,Goiânia,62,39419051
ESCOLA CANTINHO FELIZ LTDA ME,RUA C 40,217,SETOR SUDOESTE,74305210,GO,Goiânia,62,32879264
COLEGIO EXPOVEST,RUA AMELIO,110,JARDIM PLANALTO,74333150,GO,Goiânia,62,32879050
SENAC - CENTRO DE EDUCACAO PROFISSIONAL ELIAS BUFAICAL,RUA 31 A,43,SETOR AEROPORTO,74075470,GO,Goiânia,62,32195160
COLEGIO DEGRAUS,RUA C 97,309,SETOR SUDOESTE,74303380,GO,Goiânia,62,32870466
CENTRO EDUC SESC CIDADANIA ELIAS BUFAICAL NETO,AVENIDA C 197,812,JARDIM AMERICA,74270030,GO,Goiânia,62,32508000
COLEGIO APOIO,RUA MANAGUA,672,JARDIM NOVO MUNDO,74705200,GO,Goiânia,62,35658020
COLEGIO FRACTAL CIDADE JARDIM,RUA FORMOSA,1197,CIDADE JARDIM,74425410,GO,Goiânia,62,39267209
COLEGIO WRJ,AV ANTONIO FIDELIS,1874,PARQUE AMAZONIA,74840390,GO,Goiânia,62,39974950
COLEGIO PRINCIPIOS,RUA C 67,65,SETOR SUDOESTE,74305460,GO,Goiânia,62,32470303
ESCOLA ATOS,RUA DIVINO OLIVEIRA,178,CIDADE JARDIM,74425220,GO,Goiânia,62,35950909
ESCOLA INFANTIL RECREIO EIRELI,RUA MOSSORO,322,JARDIM NOVO MUNDO,74715340,GO,Goiânia,62,32842960
COLEGIO INTEGRADO UNIDADE AREIAO,RUA 1139,323,SETOR MARISTA,74180180,GO,Goiânia,62,36382400
ESCOLA RODA VIVA,AV PIRATININGA,440,PARQUE AMAZONIA,74835160,GO,Goiânia,62,35150021
COLEGIO INTELECTUAL INTEGRAL LTDA,RUA VINHA DEL MAR,,JARDIM NOVO MUNDO,74705160,GO,Goiânia,62,32062930
ESPACO INFANTIL ARTE E CIDADANIA,25 A,,SETOR AEROPORTO,74070150,GO,Goiânia,.,.
COLEGIO UNUS KIDS,RUA CANUMA,30,PARQUE AMAZONIA,74840540,GO,Goiânia,62,32483643
BERCARIO E ESCOLA SAGRADA FAMILIA,AVENIDA C 18,304,SETOR SUDOESTE,74303030,GO,Goiânia,62,41041177
COLEGIO META BURITI,AVENIDA RIO NEGRO,,PARQUE AMAZONIA,74840520,GO,Goiânia,62,32800671
ESCOLA ZARA,RUA 1141,455,SETOR MARISTA,74180081,GO,Goiânia,62,39233434
COLEGIO SAGRADA FAMILIA LTDA,AVENIDA DONA TEREZINHA DE MORAIS,600,PARQUE AMAZONIA,74843150,GO,Goiânia,62,34345626
ESCOLA INOVADORA ARARUNA ANARE,RUA COLONIA,2563,JARDIM NOVO MUNDO,74705040,GO,Goiânia,62,9.9955E8
ESCOLA INFANTIL RECREIO,RUA MOSSORO,,JARDIM NOVO MUNDO,74715340,GO,Goiânia,62,35423807
FRACTAL CENTRO DE EDUCACAO E ENSINO,AVENIDA T 9 COM RUA U-42,4586,JARDIM PLANALTO,74333010,GO,Goiânia,62,39427230
COL LA SALLE BRASILIA,QUADRA SGAS 906 CONJUNTO E,,ASA SUL,70390060,DF,Brasília,61,34437878
C EDUCACIONAL LEONARDO DA VINCI,QUADRA SEPS 703/903,,ASA SUL,70390039,DF,Brasília,61,32266703
C EDUCACIONAL LEONARDO DA VINCI - UNID NORTE,QUADRA SGAN 914,0,ASA NORTE,70790140,DF,Brasília,61,33401616
C EDUCACIONAL SAGRADA FAMILIA,QUADRA SGAN 906,,ASA NORTE,70790060,DF,Brasília,61,32721727
C EDUCACIONAL SIGMA,SGAS QUADRA,912,ASA SUL,70310500,DF,Brasília,61,37011109
COL MADRE CARMEN SALLES,SGAN 604 MODULO D,,ASA NORTE,70830154,DF,Brasília,61,32232863
COL SAGRADO CORACAO DE MARIA,QUADRA SGAN 702 CONJUNTO C,,ASA NORTE,70710750,DF,Brasília,61,30315000
COL SANTA DOROTEIA,QUADRA SGAN 911,,ASA NORTE,70790110,DF,Brasília,61,32745110
C EDUCACIONAL ADVENTISTA MILTON AFONSO,QUADRA SGAS 611 MODULO,75,ASA SUL,70200710,DF,Brasília,61,34415000
CE BRASIL CENTRAL,QUADRA QNE 24,06/10,TAGUATINGA NORTE TAGUATINGA,72125240,DF,Brasília,61,33540046
CE DO SESI-DF - TAGUATINGA,QUADRA QNF 24,,TAGUATINGA NORTE TAGUATINGA,72125740,DF,Brasília,61,33559547
C EDUCACIONAL CATOLICA DE BRASILIA,QUADRA QS 07,LOTE 01,AGUAS CLARAS,71966700,DF,Brasília,61,34515022
COL MARISTA CHAMPAGNAT,AREA ESPECIAL QSD AREA ESPECIAL,01,TAGUATINGA SUL TAGUATINGA,72015597,DF,Brasília,61,21911511
COL JESUS MARIA JOSE,QNG 40 AREA ESPECIAL 5B,,TAGUATINGA NORTE,72130003,DF,Brasília,61,33542444
C EDUCACIONAL PROJECAO TAGUATINGA NORTE,"SETOR C NORTE, AREA ESPECIAL 5/6 E SETOR B NORTE, AREA ESPECIAL 5",,TAGUATINGA NORTE,72115700,DF,Brasília,61,34513888
CED ADVENTISTA DE TAGUATINGA,QSB 4,07,TAGUATINGA SUL TAGUATINGA,72015540,DF,Brasília,61,34415000
INST DE EDUC GUINESS,QUADRA QSA 7,15/21 E 22,TAGUATINGA SUL TAGUATINGA,72015070,DF,Brasília,61,35627450
CED PROJECAO TAGUATINGA NORTE UNIDADE II,QUADRA QNJ 17,,TAGUATINGA NORTE TAGUATINGA,72140170,DF,Brasília,61,34752277
C DE ENS SANTA RITA DE CASSIA,QUADRA QUADRA 9 LOTE ESPECIAL E AREA RESERVADA,02,SOBRADINHO,73035090,DF,Brasília,61,35914241
COL LA SALLE - SOBRADINHO,QUADRA QUADRA 14,24/27,SOBRADINHO,73050140,DF,Brasília,61,33878840
COL APROVACAO PHD,QUADRA QUADRA 13,,SOBRADINHO,73040130,DF,Brasília,61,35911801
INST EDUCACIONAL SANTO ELIAS,QUADRA QUADRA 11,,SOBRADINHO,73040110,DF,Brasília,61,34539650
INST SAO JOSE,QUADRA 4 AREA ESPECIAL,01,SOBRADINHO,73025040,DF,Brasília,61,34875258
REDE DE ENS CERTO - UNIDADE CEILANDIA,QUADRA EQNP 9/13 MODULO A,,CEILANDIA NORTE CEILANDIA,72240571,DF,Brasília,61,35854151
ESC DE EDUC BASICA E PROFISSIONAL FUNDACAO BRADESCO,QUADRA QNN 28,SEM NUMERO,CEILANDIA SUL CEILANDIA,72220280,DF,Brasília,61,34712219
INST SOUSA ARANTES,QUADRA EQNP 30/34 MODULO F,SN,CEILANDIA SUL CEILANDIA,72236516,DF,Brasília,61,33762344
COL MARIA IMACULADA,QUADRA SHIS QI 5 CHACARA,72,SETOR DE HABITACOES INDIVIDUAIS SUL,71600600,DF,Brasília,61,32484768
ESC DAS NACOES,QUADRA SHIS QI 21 AREA ESPECIAL S/N,,SETOR DE HABITACOES INDIVIDUAIS SUL,71655600,DF,Brasília,61,33661800
COL NOSSA SENHORA DO PERPETUO SOCORRO,SHIS EQL 6/8 CONJUNTO A,1,SETOR DE HABITACOES INDIVIDUAIS SUL,71620980,DF,Brasília,61,32480043
COL PRESBITERIANO MACKENZIE - BRASILIA,QUADRA SHIS QI 5 CHACARA,74,SETOR DE HABITACOES INDIVIDUAIS SUL,71600610,DF,Brasília,61,21069000
CASA DO PEQUENO POLEGAR,QUADRA SHIS QI 5 CHACARAS 92 A 99,96,SETOR DE HABITACOES INDIVIDUAIS SUL,71600640,DF,Brasília,61,32481217
C DE ENS EBENEZER - CENEB,QUADRA QNM 3,25/33,CEILANDIA SUL CEILANDIA,72215030,DF,Brasília,61,33718686
C EDUCACIONAL RENASCENCA,SGAN - QD 914 CONJUNTO B PARTE,,ASA NORTE,70790142,DF,Brasília,61,32736284
CED LUMNI,QUADRA 2 CONJUNTO C/D LOTE,E,SOBRADINHO,73015380,DF,Brasília,61,35910235
C EDUCACIONAL PROJECAO SOBRADINHO,QUADRA QUADRA 14 AREA ESPECIAL,21,SOBRADINHO,73050140,DF,Brasília,61,35914838
ESC CANTINHO MAGICO,QUADRA SHIS QI 26 CHACARAS 29,29,SETOR DE HABITACOES INDIVIDUAIS SUL,71670750,DF,Brasília,61,33672171
COL MARISTA JOAO PAULO II,QUADRA SGAN 702 CONJUNTO B,,ASA NORTE,70710700,DF,Brasília,61,34264600
REDE DE ENS CERTO,SETOR D SUL AREA ESPECIAL RESERVADA,06,TAGUATINGA SUL TAGUATINGA,72020000,DF,Brasília,61,33526633
ESCOLA MAPLE BEAR SUDOESTE - CANDANGUINHO,QUADRA EQSW 303/304,,SETOR SUDOESTE,70673350,DF,Brasília,61,33447575
COL GALOIS,SGAS QD,601,ASA SUL,70200610,DF,Brasília,61,32522000
CED LEONARDO DA VINCI - UNIDADE TAGUATINGA,QUADRA QS 3 RUA 420,02,AGUAS CLARAS,71953100,DF,Brasília,61,33510606
COL DROMOS,QUADRA EQSW 303/304,3,SETOR SUDOESTE,70673350,DF,Brasília,61,33440004
COL IDEAL,QNG 9 LOTE 1 E 2,01/02,TAGUATINGA NORTE,72130110,DF,Brasília,61,39655005
ESC CASA DE BRINQUEDOS,QUADRA QNA 51,18,TAGUATINGA NORTE TAGUATINGA,72110510,DF,Brasília,61,33527585
COL VIVENCIAR,QUADRA QNB 4,40,TAGUATINGA NORTE,72115040,DF,Brasília,61,35610059
COL DOM JOSE,SHIS QI 26 CONJUNTO H,,SETOR DE HABITACOES INDIVIDUAIS SUL,71670000,DF,Brasília,61,33676240
COL BIANGULO,QNJ AREA ESPECIAL Nº 08,,TAGUATINGA NORTE,72140608,DF,Brasília,61,34752121
COL EVEREST BRASILIA,QUADRA SHIS QI 19 CHACARAS 17 E 18,,SETOR DE HABITACOES INDIVIDUAIS SUL,71655730,DF,Brasília,61,33662820
COL VENCER,QUADRA QNM 5 CONJUNTO B/D LTS,33 A 39,CEILANDIA SUL CEILANDIA,72215052,DF,Brasília,61,33732255
COL BIANGULO IV,AV DAS ARAUCIRIAS QD 201 LOTE 455,455,AGUAS CLARAS,71937540,DF,Brasília,61,37032323
CENTRO EDUCACIONAL IESB,QUADRA QNN 31 AE B / C LT D MOD E,,CEILANDIA NORTE CEILANDIA,72225310,DF,Brasília,61,39624727
COL IDEAL AGUAS CLARAS - UNIDADE VII,MANACA LOTE 2 BLOCO 2 NORTE,,AGUAS CLARAS,71907270,DF,Brasília,61,35477341
COL BIANGULO - VIII,QD 13 AR 3,,SOBRADINHO,73040130,DF,Brasília,61,9.965E8
COL BIANGULO VII,RUA 36 NORTE LT 06 LOJA 01 NORTE,,AGUAS CLARAS,71919180,DF,Brasília,61,9.9813E8
C EDUCACIONAL SIGMA - ASA NORTE,SGAN QUADRA,910,ASA NORTE,70790100,DF,Brasília,61,35358400
COL MAPA,QUADRA EQNP 15/19 MODULO F,,CEILANDIA NORTE CEILANDIA,72241576,DF,Brasília,61,33791116
COBIAN - COL BIANGULO,QNJ 22 - LOTES 34 E 36,,TAGUATINGA NORTE,72140220,DF,Brasília,61,34756945
